OBJECTID,PRECINCT_N,FACILITY_D,ACCESSIBLE,GIS_ID,WEB_URL,NAME,ADDRESS,ADDRESS_ID,WARD,X,Y,PORTION,ZIPCODE
90,140,Gymnasium,Y,plp_ 1,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Anacostia Sr. High School,1601 16TH STREET SE,155922,Ward 8,401468.56,133584.5,Null,20020
91,60,Church Hall,Y,plp_ 3,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,St. John United Baptist Church,6343 13TH STREET NW,253260,Ward 4,397459.85,144369.76,Null,20011
92,52,Roth Gymnasium,Y,plp_ 4,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,St. John's College High School,2607 MILITARY ROAD NW,259840,Ward 4,395215.5,143835.6,Null,20015
93,7,Recreation Room,Y,plp_ 6,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Hardy Recreation Center,4500 Q STREET NW,284929,Ward 3,392629.43,138009.47,Null,20007
94,73,Library (Lower Level),Y,plp_ 7,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Mary McLeod Bethune Day Academy PCS,1404 JACKSON STREET NE,294522,Ward 5,401138.94,140191.85,Null,20017
95,106,Gymnasium,Y,plp_ 8,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Ridge Road Community Center,830 RIDGE ROAD SE,310262,Ward 7,405140.77,134301.38,Null,20019
96,66,Multi-Purpose Room - Accessible entrance adjacent to parking lot,Y,plp_ 9,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,UDC Community College @Backus,5171 SOUTH DAKOTA AVENUE NE,294607,Ward 5,400236.86,142826.56,Null,20017
97,34,Gymnasium (Lower Level) - use ramped entrance,Y,plp_ 10,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Edmund Burke School,2955 UPTON STREET NW (NEAR CONNECTICUT AVENUE),284536,Ward 3,394657.31,141609.57,Null,20008
98,128,Junior Church Hall - Accessible entrance adjacent to parking lot,Y,plp_ 11,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Friendship Baptist Church,900 DELAWARE AVENUE SW,276854,Ward 6,398915.56,134565.2,Null,20024
99,46,Multi-Purpose Room,Y,plp_ 12,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,E.L. Haynes Public Charter School,4501 KANSAS AVENUE NW,284930,Ward 4,398056.76,141967.7,Null,20011
100,20,Auditorium,Y,plp_ 13,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Washington Metropolitan High School,300 BRYANT STREET NW,294475,Ward 1,398648.83,139173.33,Null,20001
101,101,Multi-Purpose Room,Y,plp_ 14,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,River Terrace Education Campus,420 34TH STREET NE,294485,Ward 7,403660.17,136398.67,Null,20019
102,114,Church Hall,Y,plp_ 15,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Union Temple Baptist Church,1225 W STREET SE,70732,Ward 8,400958.87,132965.09,Null,20020
103,127,Gymnasium,Y,plp_ 16,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,King Greenleaf Recreation Center,201 N STREET SW,52917,Ward 6,398889.94,134131.94,Null,20024
104,12,Church Hall,Y,plp_ 17,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,St. Sophia’s Greek Orthodox Cathedral Church,2815 36TH STREET NW,223143,Ward 3,393893.36,139930.72,Null,20007
105,135,Church Hall - use ramped entrance on Rhode Island Avenue,Y,plp_ 18,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Mt. Bethel Baptist Church,75 RHODE ISLAND AVE NW,227379,Ward 5,398988.64,138704.35,Null,20001
106,76,Community Room,Y,plp_ 19,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Bethesda Baptist Church,1808 CAPITOL AVENUE NE,155925,Ward 5,401201.89,138128.76,Null,20002
107,15,Community Room (Lower Level) - use side entrance on P Street,Y,plp_ 21,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Foundry United Methodist Church,1500 16TH STREET NW,243309,Ward 2,396801.38,138019.76,Null,20036
108,62,Auditorium - use ramped entrance on 14th Street.,Y,plp_ 22,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Shepherd Elementary School,7800 14TH STREET NW,256319,Ward 4,397054.62,146297.53,Null,20012
109,30,Multi-Purpose Room,Y,plp_ 23,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Janney Elementary School,4130 ALBEMARLE STREET NW,285713,Ward 3,392978.88,142186.88,Null,20016
110,27,Auditorium,Y,plp_ 24,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Eaton Elementary School,3301 LOWELL STREET NW,294562,Ward 3,394293.04,140540.3,Null,20008
111,69,Multi-Purpose Room,Y,plp_ 25,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Perry Street Preparatory PCS @Taft,1800 PERRY STREET NE,294529,Ward 5,401855.75,140990.2,Null,20018
1,83,Multi-Purpose Room - use entrance located on 7th Street,Y,plp_ 26,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,J.O. Wilson Elementary School,660 K STREET NE,288841,Ward 6,400295.87,137211.43,Null,20002
2,96,Fellowship Hall,Y,plp_ 27,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Hughes Memorial United Methodist Church,25 53RD STREET NE (NEAR AMES STREET),287077,Ward 7,406439.25,135857.18,Null,20019
3,137,Multi-Purpose Room - Accessible entrance adjacent to parking lot,Y,plp_ 28,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Garrison Elementary School,1200 S STREET NW,294509,Ward 2,397518.52,138448.81,Null,20009
4,90,Auditorium,Y,plp_ 29,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Tyler Elementary School,1001 G STREET SE,294505,Ward 6,400690.52,134805.51,Null,20003
5,40,Large meeting Room,Y,plp_ 30,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Mt. Pleasant Neighborhood Library,3160 16TH STREET NW,295138,Ward 1,396779.31,140288.09,Null,20010
6,94,Cafeteria,Y,plp_ 31,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Burrville Elementary School,801 DIVISION AVENUE NE,289787,Ward 7,406552.65,136970.78,Null,20019
7,61,Multi-Purpose Room,Y,plp_ 32,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Fort Stevens Recreation Center,1327 VAN BUREN STREET NW,290152,Ward 4,397305.72,144706.25,Null,20012
8,33,Cafeteria,Y,plp_ 33,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Murch Elementary School,4810 36 STREET NW,294602,Ward 3,393925.57,142783.67,Null,20008
9,78,Gymnasium,Y,plp_ 34,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Trinidad Recreation Center,1310 CHILDRESS STREET NE,68509,Ward 5,401496.88,137620.38,Null,20002
10,26,Gymnasium – use ramped entrance on 27th Street,Y,plp_ 35,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Oyster-Adams Bilingual School,2801 CALVERT STREET NW,275944,Ward 3,395039.6,139526.15,Null,20008
11,38,Gymnasium,Y,plp_ 37,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Cesar Chavez Prep Middle School,770 KENYON STREET NW,285409,Ward 1,397756.37,140192.11,Null,20010
12,74,Auditorium,Y,plp_ 38,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Noyes Education Campus,2725 10TH STREET NE,289594,Ward 5,400707.33,139700.26,Null,20018
13,71,Fellowship Hall,Y,plp_ 39,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Mt. Horeb Baptist Church Annex,3015 EARL PLACE NE,287380,Ward 5,403244.98,140045.14,Null,20018
14,133,Multi-Purpose Room,Y,plp_ 40,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Lawrence E. Boone Elementary Schoo (formerly Orr School),2200 MINNESOTA AVENUE SE,294539,Ward 8,402265.18,133860.05,Null,20020
15,121,Gymnasium,Y,plp_ 41,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Ferebee-Hope Recreation Center,3999 8TH STREET SE,294588,Ward 8,400419.94,129394.95,Null,20032
16,3,Main Lobby,Y,plp_ 42,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,St. Paul’s Parish,2430 K STREET NW,295850,Ward 2,395431.75,137158.01,Null,20037
17,45,Gymnasium,Y,plp_ 44,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,MPD - Regional Operation Command (North),801 SHEPHERD STREET NW,252510,Ward 4,397935.75,141355.78,Null,20011
18,124,Church Hall,Y,plp_ 45,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Covenant Baptist United Church of Christ,3845 SOUTH CAPITOL STREET SW,301907,Ward 8,399247.99,129580,Null,20032
19,48,Auditorium - use South entrance on 13th Street.,Y,plp_ 46,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Bancroft @Sharpe Health School,4300 13TH STREET NW (BETWEEN UPSHUR & ALLISON STREETS.),255254,Ward 4,397358.67,141731.76,Null,20011
20,125,Auditorium,Y,plp_ 47,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Hendley Elementary School,425 CHESAPEAKE STREET SE,24445,Ward 8,400070.78,129022.18,Null,20032
21,72,Multi-Purpose Room,Y,plp_ 48,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Model Cities Senior Wellness Center,1901 EVARTS STREET NE,301587,Ward 5,402018.77,139583.79,Null,20018
22,77,Meeting Rooms,Y,plp_ 49,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Joseph H. Cole Recreation Center,1299 NEAL STREET NE,294512,Ward 5,400997.43,137362.43,Null,20002
23,54,Gymnasium - use entrance located at 14th & Farragut Streets,Y,plp_ 50,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,West Education Campus,1338 FARRAGUT STREET NW,294517,Ward 4,397204.26,142607.98,Null,20011
24,79,Auditorium,Y,plp_ 51,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Browne Education Campus,850 26TH STREET NE (NEAR BENNING ROAD),294501,Ward 5,402544.36,137194.17,Null,20002
25,112,Meeting Room,Y,plp_ 52,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Anacostia Neighborhood Library,1800 GOOD HOPE ROAD SE,53560,Ward 8,401854.99,133121.03,Null,20020
26,42,Gymnasium,Y,plp_ 53,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Raymond Recreation Center,3725 10TH STREET NW,310493,Ward 4,397690.85,140949.86,Null,20010
27,63,Gymnasium,Y,plp_ 54,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Takoma Education Campus,7010 PINEY BRANCH ROAD NW,250934,Ward 4,398024.76,145235.93,Null,20012
28,2,Multi Purpose Room,Y,plp_ 55,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,The School Without Walls,2130 G STREET NW,242528,Ward 2,395820.01,136698.13,Null,20037
29,95,Auditorium - use entrance located at 57th & Eads Streets,Y,plp_ 56,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Drew Elementary School,5500 EADS STREET NE,294609,Ward 7,406704.96,136485.52,Null,20019
30,80,Quander Room - Accessible rear entrance,Y,plp_ 57,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,St. Benedict the Moor Church,320 21ST STREET NE,287504,Ward 7,402129.08,136264.62,Null,20002
31,130,Multi-Purpose Room (Lower Level) - use  West entrance,Y,plp_ 59,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Lutheran Church of the Reformation,212 EAST CAPITOL STREET NE,286648,Ward 6,399752.08,135807.71,Null,20003
32,122,Dance Studio,Y,plp_ 60,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Ballou Senior High School,3401 4TH STREET SE,294567,Ward 8,399881.71,130079.64,Null,20032
33,65,Auditorium,Y,plp_ 61,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,LaSalle-Backus Education Campus,501 RIGGS ROAD NE,294489,Ward 4,400010.18,143562.69,Null,20011
34,103,Auditorium - use ground level entrance,Y,plp_ 62,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Plummer Elementary School,4601 TEXAS AVENUE SE,19536,Ward 7,405211.23,135490.54,Null,20019
35,126,Multi-Purpose Room,Y,plp_ 63,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,W.B. Patterson Elementary School,4399 SOUTH CAPITOL TERRACE SW,301073,Ward 8,399263.25,128798.03,Null,20032
36,11,Lounge Area,Y,plp_ 64,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Guy Mason Recreation Center,3600 CALVERT STREET NW,295826,Ward 3,393825.91,139366.57,Null,20007
37,84,Gymnasium,Y,plp_ 65,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Stuart-Hobson Middle School,410 E STREET NE,294483,Ward 6,399999.62,136494.28,Null,20002
38,132,Gymnasium,Y,plp_ 66,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,D.C. Center for Therapeutic Recreation,3030 G STREET SE,288770,Ward 7,403192.75,134782.54,Null,20019
39,119,Gymnasium,Y,plp_ 67,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Barry Farms Recreation Center,1230 SUMNER ROAD SE,285960,Ward 8,400320.84,132501.09,Null,20020
40,10,Multi Purpose Room,Y,plp_ 68,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Horace Mann Elementary School,4430 NEWARK STREET NW (REAR OF MANN SCHOOL),294597,Ward 3,392385.28,140715.66,Null,20016
41,138,Fellowship Hall - Accessible entrance adjacent to parking lot,Y,plp_ 69,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Capital Memorial Adventist Church,3150 CHESAPEAKE STREET NW (ONE BLOCK EAST OF CONNECTICUT AVENUE),284592,Ward 3,394455.49,142480.23,Null,20008
42,36,Gymnasium,Y,plp_ 70,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Columbia Heights Community Center,1480 GIRARD STREET NW,284045,Ward 1,396956.78,139707.59,Null,20009
43,4,Gymnasium,Y,plp_ 71,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,School Without Walls @Francis-Stevens,2425 N STREET NW,294544,Ward 2,395461.95,137735.74,Null,20037
44,31,Multi-Purpose Room,Y,plp_ 72,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,St. Columba’s Episcopal Church,4201 ALBEMARLE STREET NW,301545,Ward 3,392853.08,142261.1,Null,20016
45,107,Gymnasium,Y,plp_ 73,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Sousa Middle School,3650 ELY PLACE SE,294584,Ward 7,404064.1,135118.46,Null,20019
46,97,Auditorium,Y,plp_ 75,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Kelly Miller Middle School,301 49TH STREET NE,294476,Ward 7,405859.65,136165.39,Null,20019
47,37,Community Meeting Room,Y,plp_ 76,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Banneker Community Recreation Center,2500 GEORGIA AVENUE NW,232292,Ward 1,398041.68,139425.87,Null,20001
48,39,Auditorium,Y,plp_ 77,https://www.dcboe.org/Voters/Where-to-Vote/Polling-Places,Columbia Heights Education Campus,3101 16TH STREET NW,234375,Ward 1,396890.8,140185.59,Null,20010
